Product Name,Product Price,Old Price,Product Cat,Time Added,Source,Product URL,Brand
Pure Aero Lite Tour racket Strung,£168.90,£216.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/babolat-pure-aero-lite-tour-racket-strung-00907603218000,Babolat
Pure Aero Junior 26 Junior racket Strung,£88.90,£112.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/babolat-pure-aero-junior-26-junior-racket-strung-00907603234000,Babolat
Blade 26 V10 Junior racket Strung,£82.90,£110.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-blade-26-v10-junior-racket-strung-00707604317000,Wilson
Pure Drive Wimbledon Tour racket unstrung,£174.90,£243.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/babolat-pure-drive-wimbledon-tour-racket-unstrung-00907603201000,Babolat
Boom MP Alternate 2026 Tour racket unstrung,£162.90,£210.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/head-boom-mp-alternate-2026-tour-racket-unstrung-P0000001850301,HEAD
Blade 100 V10 US Open 2026  Tour racket unstrung,£217.90,,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-blade-100-v10-us-open-2026-tour-racket-unstrung-P0000009760801,Wilson
Blade 98 Pro 16X19 V10 Tour racket unstrung,£199.90,£250.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-blade-98-pro-16x19-v10-tour-racket-unstrung-00707604284000,Wilson
Pure Aero PA U Tour racket unstrung,£196.90,£249.95,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/babolat-pure-aero-pa-u-tour-racket-unstrung-00907603207000,Babolat
Boom Jr. 26 Alternate Junior racket strung,£81.90,£90.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/head-boom-jr-26-alternate-junior-racket-strung-P0000005890301,HEAD
Boost Wimbledon Allround racket Strung,£69.90,£107.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/babolat-boost-wimbledon-allround-racket-strung-00907603230000,Babolat
Ultra 100 V5 RG Tour racket unstrung,£159.90,£210.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-ultra-100-v5-rg-tour-racket-unstrung-00707604296000,Wilson
Gravity MP Zverev 2026 Tour racket unstrung,£243.90,,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/head-gravity-mp-zverev-2026-tour-racket-unstrung-P0000010381901,HEAD
Gravity Tour Zverev 2026 Tour racket unstrung,£243.90,,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/head-gravity-tour-zverev-2026-tour-racket-unstrung-P0000010381101,HEAD
Noir Shift 99 V1,£139.90,£242.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-noir-shift-99-v1-00707504143000-en,Wilson
Extreme MP 2024,£128.90,£200.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/head-extreme-mp-2024-00606704419000-en,HEAD
Defyer 100UL V1 Tour racket strung,£178.90,£210.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-defyer-100ul-v1-tour-racket-strung-P0000009760901,Wilson
