Product Name,Product Price,Old Price,Product Cat,Time Added,Source,Product URL,Brand
Evoke Tour Tennis Racket (2026) - Black/Yellow,£42.49,£50.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evoke-tour-tennis-racket-2026-black-yellow-1769324.html,Babolat
Ti S2 Titanium Tennis Racket,£79.99,£130.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-ti-s2-titanium-tennis-racket-1686228.html,HEAD
EZONE 98 v8 Tennis Racket [Frame Only] - Espresso Brown,£270.00,,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-ezone-98-v8-tennis-racket-frame-only-espresso-brown-1767791.html,Yonex
Pure Aero Lite Gen9 Tennis Racket (2026),£175.99,£220.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-aero-lite-gen9-tennis-racket-2026-1755157.html,Babolat
VCore 98L Tennis Racket (2026) [Frame Only] - Ruby Red,£199.99,£260.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-vcore-98l-tennis-racket-2026-frame-only-ruby-red-1758730.html,Yonex
Evo Strike Tennis Racket,£124.99,£160.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evo-strike-tennis-racket-1666478.html,Babolat
Extreme Elite Tennis Racket (2026),£99.99,£130.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-extreme-elite-tennis-racket-2026-1768511.html,HEAD
Evo Drive Gen 2 Tennis Racket 2025,£114.99,£149.99,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evo-drive-gen-2-tennis-racket-2025-1694480.html,Babolat
Speed MP Tennis Racket (2026),£171.99,£230.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-speed-mp-tennis-racket-2026-1754802.html,HEAD
Carlitos Junior 26 Inch Tennis Racket 2026,£28.99,£38.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-carlitos-junior-26-inch-tennis-racket-2026-1755236.html,Babolat
Pure Drive Lite Gen 11 Tennis Racket (2025),£157.49,£210.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-drive-lite-gen-11-tennis-racket-2025-1684574.html,Babolat
Boom MP UL Tennis Racket (2026),£142.49,£190.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-boom-mp-ul-tennis-racket-2026-1759795.html,HEAD
FX 500 Super Lite Tennis Racket (2026) [Frame Only],£134.99,£180.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/dunlop-fx-500-super-lite-tennis-racket-2026-frame-only-1749598.html,Dunlop
Pure Aero Plus Gen9 Tennis Racket [Frame Only] (2026),£199.99,£250.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-aero-plus-gen9-tennis-racket-frame-only-2026-1755190.html,Babolat
Aero 26 Inch Junior Tennis Racket 2026,£62.99,£75.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-aero-26-inch-junior-tennis-racket-2026-1755201.html,Babolat
FX 500 Lite Tennis Racket (2026) [Frame Only],£151.99,£190.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/dunlop-fx-500-lite-tennis-racket-2026-frame-only-1749596.html,Dunlop
Boost Wimbledon Tennis Racket 2026,£89.99,£100.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-boost-wimbledon-tennis-racket-2026-1764891.html,Babolat
Pure Drive 98 (Frame Only) Gen 11 Tennis Racket (2025),£207.99,£260.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-drive-98-gen-11-tennis-racket-1684947.html,Babolat
Boost Aero Tennis Racket (2026),£79.99,£95.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-boost-aero-tennis-racket-2026-1756943.html,Babolat
Evo Drive Lite Gen 2 Tennis Racket 2025 - White,£109.99,£145.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evo-drive-lite-gen-2-tennis-racket-2025-white-1694489.html,Babolat
Boost Strike Tennis Racket,£74.99,£95.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-boost-strike-tennis-racket-1691776.html,Babolat
EZONE 100SL v8 Tennis Racket [Frame Only] - Espresso Brown,£270.00,,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-ezone-100sl-v8-tennis-racket-frame-only-espresso-brown-1767795.html,Yonex
Evo Aero Lite Pink Tennis Racket Gen2 (2026),£109.99,£150.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evo-aero-lite-pink-tennis-racket-gen2-2026-1756942.html,Babolat
