Product Name,Product Price,Old Price,Product Cat,Time Added,Source,Product URL,Brand
Go Run Trail Altitude 2.0 Mens Shoes (Navy/Red),£54.95,£74.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-go-run-trail-altitude-20-mens-shoes-navyred-4E957,Skechers
Slip Ins: D'Lux Walker 2.0 Womens Shoes-Happy Step (Taupe/Coral),£59.97,£89.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-dlux-walker-20-womens-shoeshappy-step-taupecoral-42CE8,Skechers
Arch Fit Laguna Womens Boots (Black),£49.44,£74.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-arch-fit-laguna-womens-boots-black-4E078,Skechers
Slip Ins: Max Cushioning Glide-Step Womens Shoes (Black/White),£65.62,£99.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-max-cushioning-glidestep-womens-shoes-blackwhite-4E084,Skechers
Max Cushioning Endeavour Womens Shoes (Black),£51.95,£74.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-max-cushioning-endeavour-womens-shoes-black-4E08D,Skechers
Slip Ins: Max Cushioning Glide-Step Womens Shoes (White/Grey),£65.62,£99.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-max-cushioning-glidestep-womens-shoes-whitegrey-4E092,Skechers
Max Cushioning Endeavour Mens Shoes (Navy),£53.95,£74.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-max-cushioning-endeavour-mens-shoes-navy-4EB56,Skechers
Slip Ins: Bounder - Free and Easy Junior Shoes (Pink),£23.95,£29.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-bounder-free-and-easy-junior-shoes-pink-4F210,Skechers
Slip Ins: Max Cushioning Elite 2.0-Kaplan Womens Shoes (White/Rose Gold),£69.95,£109.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-max-cushioning-elite-20kaplan-womens-shoes-whiterose-gold-4D5CF,Skechers
Slip Ins: Max Cushioning Glide-Step Womens Shoes (Light Blue),£65.62,£99.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-max-cushioning-glidestep-womens-shoes-light-blue-4E083,Skechers
Bobs Desert Kiss Low Womens Sandals (Chestnut),£31.95,£39.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-bobs-desert-kiss-low-womens-sandals-chestnut-4E51F,Skechers
Max Cushioning Endeavour Womens Shoes (Black/White),£50.95,£74.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-max-cushioning-endeavour-womens-shoes-blackwhite-4EB5D,Skechers
Slip Ins: Summits Womens Shoes-Diamond Dream (Navy/Pink),£50.95,£74.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-summits-womens-shoesdiamond-dream-navypink-4EB61,Skechers
Slip Ins: Glide-Step Altus Mens Shoes (Charcoal/Lime),£66.28,£99.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-glidestep-altus-mens-shoes-charcoallime-4E0AC,Skechers
Slip Ins Relaxed Fit: Oak Canyon Mens Shoes (Black/Charcoal),£56.95,£84.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-slip-ins-relaxed-fit-oak-canyon-mens-shoes-blackcharcoal-4E95F,Skechers
Cambert Mens Boots (Chocolate/Dark Brown),£66.95,£99.00,Leisure Brands,2026-09-08 10:52:09,Direct Tennis UK,https://www.directtennis.co.uk/leisure-brands/skechers/skechers-cambert-mens-boots-chocolatedark-brown-4D417,Skechers
